item_id,properties
3217002,Reception (24/7)|Air Conditioning|Satisfactory Rating|Hiking Trail|Terrace (Hotel)|Very Good Rating|Gym|Nightclub|Beach|Good Rating|WiFi (Public Areas)|Surfing|Openable Windows|Restaurant|Laundry Service|Hostel|Free WiFi (Combined)|Bike Rental|Free WiFi (Rooms)|Non-Smoking Rooms|Singles|Computer with Internet|WiFi (Rooms)|Free WiFi (Public Areas)
3486086,Satisfactory Rating|House / Apartment|Lift
5497220,Satellite TV|Cosmetic Mirror|Safe (Hotel)|Telephone|Hotel|Reception (24/7)|Wheelchair Accessible|Air Conditioning|Sun Umbrellas|Massage|Hotel Bar|Bathtub|Satisfactory Rating|Room Service|Luxury Hotel|Very Good Rating|Television|Business Hotel|Shower|Cot|Gym|Hairdryer|Beach|From 3 Stars|Good Rating|Radio|4 Star|From 4 Stars|Deck Chairs|Family Friendly|Desk|WiFi (Public Areas)|Openable Windows|Spa (Wellness Facility)|Restaurant|Design Hotel|Laundry Service|Gay-friendly|From 2 Stars|Business Centre|Solarium|Conference Rooms|Accessible Hotel|Porter|Bike Rental|Non-Smoking Rooms|Car Park|Concierge|Safe (Rooms)|Jacuzzi (Hotel)|Flatscreen TV|Honeymoon|Large Groups|Boutique Hotel|Singles|Excellent Rating|Computer with Internet|Pet Friendly|WiFi (Rooms)
6551710,Satellite TV|Sitting Area (Rooms)|Adults Only|Airport Hotel|Terrace (Hotel)|Shower|Microwave|Bed & Breakfast|Desk|Balcony|Express Check-In / Check-Out|Ironing Board|Free WiFi (Combined)|Gay-friendly|Free WiFi (Rooms)|Eco-Friendly hotel|Fan|Flatscreen TV|Singles|Computer with Internet|Fridge|WiFi (Rooms)|Washing Machine
6680288,Cosmetic Mirror|Convenience Store|Air Conditioning|Cable TV|Swimming Pool (Bar)|Satisfactory Rating|Airport Hotel|Terrace (Hotel)|Very Good Rating|Business Hotel|Shower|Swimming Pool (Outdoor)|Beach|From 3 Stars|Good Rating|Deck Chairs|Family Friendly|Balcony|WiFi (Public Areas)|Express Check-In / Check-Out|Free WiFi (Combined)|Gay-friendly|From 2 Stars|Solarium|Pousada (BR)|Conference Rooms|Porter|Free WiFi (Rooms)|Eco-Friendly hotel|Car Park|Flatscreen TV|Honeymoon|Singles|Computer with Internet|WiFi (Rooms)|Swimming Pool (Combined Filter)|Free WiFi (Public Areas)|Washing Machine
8429248,Satisfactory Rating|Very Good Rating|Good Rating|House / Apartment
10672726,House / Apartment
109353,Conference Rooms|Swimming Pool (Outdoor)|Gym|Hairdryer|Beach|Accessible Parking|From 3 Stars|Good Rating|Room Service|Hiking Trail|Luxury Hotel|Terrace (Hotel)|Towels|Very Good Rating|Television|Business Hotel|Direct beach access|Shower|Laundry Service|Sauna|Cosmetic Mirror|4 Star|From 4 Stars|Deck Chairs|Free WiFi (Combined)|Romantic|Accessible Hotel|Porter|WiFi (Public Areas)|Family Friendly|Room Service (24/7)|Desk|Openable Windows|Satellite TV|Restaurant|Airport Shuttle|From 2 Stars|Free WiFi (Rooms)|Sitting Area (Rooms)|Car Park|Non-Smoking Rooms|Concierge|Safe (Rooms)|Flatscreen TV|Honeymoon|Large Groups|Singles|Computer with Internet|WiFi (Rooms)|Swimming Pool (Combined Filter)|Free WiFi (Public Areas)|Lift|Telephone|Hotel|Reception (24/7)|Wheelchair Accessible|Air Conditioning|Cable TV|Sun Umbrellas|Hotel Bar|Satisfactory Rating
1179630,Conference Rooms|Cot|Beach|Room Service|Hiking Trail|Luxury Hotel|Television|Business Hotel|Shower|Laundry Service|3 Star|Business Centre|Free WiFi (Combined)|WiFi (Public Areas)|Family Friendly|Desk|Openable Windows|From 2 Stars|Bike Rental|Free WiFi (Rooms)|Non-Smoking Rooms|Concierge|Fitness|Singles|Computer with Internet|Pet Friendly|WiFi (Rooms)|Free WiFi (Public Areas)|Washing Machine|Lift|Safe (Hotel)|Telephone|Hotel|Reception (24/7)|Air Conditioning|Cable TV|Satisfactory Rating
4388528,Microwave|Cot|Television|Shower|Cosmetic Mirror|House / Apartment|WiFi (Public Areas)|Desk|Openable Windows|Self Catering|Car Park|Non-Smoking Rooms|Fan|Flatscreen TV|Computer with Internet|Fridge|Air Conditioning|Cable TV
