dish_description,buy,session_id,merchant_id,account_id,percent_merchant_most_buy,merchant_per_account,account_id_per_account,buy_per_merchant
Lanches,212614,65789,282,38886,0.09375205771962336,0.007251967288998611,137.89361702127658,753.950354609929
Comida Brasileira,150062,57825,267,29382,0.08293238794631552,0.009087196242597509,110.04494382022472,562.0299625468165
Pizza,122567,41852,247,26898,0.042368663669666386,0.009182838872778645,108.89878542510121,496.2226720647773
Comida Japonesa,61997,18286,45,12259,0.2814491023759214,0.003670772493678114,272.4222222222222,1377.7111111111112
Comida Chinesa,39076,12638,19,9255,0.1659586446923943,0.0020529443544030253,487.10526315789474,2056.6315789473683
Marmita,23914,9509,51,6712,0.37133060132140167,0.007598331346841478,131.6078431372549,468.9019607843137
Açaí,23071,7455,28,4985,0.19153916171817434,0.005616850551654965,178.03571428571428,823.9642857142857
Carnes,22752,8667,27,4903,0.5313818565400844,0.005506832551499082,181.59259259259258,842.6666666666666
Salgados,20999,6946,29,5398,0.3178722796323634,0.005372360133382734,186.13793103448276,724.1034482758621
Comida Saudável,16858,5076,22,2982,0.29517143196108675,0.007377598926894702,135.54545454545453,766.2727272727273
Comida Árabe,15296,4816,17,3523,0.14507060669456068,0.004825432869713313,207.23529411764707,899.7647058823529
Doces & Bolos,15276,4059,49,2860,0.10068080649384656,0.017132867132867134,58.36734693877551,311.7551020408163
Comida Italiana,12985,4301,24,2952,0.42656911821332305,0.008130081300813009,123.0,541.0416666666666
Cozinha Rápida,10734,3607,11,2296,0.5735047512576859,0.004790940766550522,208.72727272727272,975.8181818181819
Mineira,8696,3629,4,2131,0.44905703771849126,0.0018770530267480056,532.75,2174.0
Comida Variada,7975,2996,15,1815,0.34031347962382447,0.008264462809917356,121.0,531.6666666666666
Sorvetes,6501,2215,9,1454,0.4688509460083064,0.006189821182943604,161.55555555555554,722.3333333333334
Hambúrguer,4958,1329,2,1102,0.836829366680113,0.0018148820326678765,551.0,2479.0
Frutos do Mar,4175,1394,2,1049,0.6091017964071856,0.0019065776930409914,524.5,2087.5
Pastel,3968,1266,15,1069,0.2540322580645161,0.01403180542563143,71.26666666666667,264.53333333333336
Bebidas,2673,771,21,566,0.18443696221473999,0.037102473498233215,26.952380952380953,127.28571428571429
Comida Mexicana,2378,467,4,379,0.8271656854499579,0.010554089709762533,94.75,594.5
Frangos,2320,848,1,682,1.0,0.001466275659824047,682.0,2320.0
Sopas & Caldos,2148,693,1,475,1.0,0.002105263157894737,475.0,2148.0
Padaria,1746,487,9,399,0.6718213058419243,0.022556390977443608,44.333333333333336,194.0
Comida Mediterrânea,1591,392,1,308,1.0,0.003246753246753247,308.0,1591.0
Peixes,548,198,3,168,0.6952554744525548,0.017857142857142856,56.0,182.66666666666666
Comida Asiática,514,123,3,102,0.8832684824902723,0.029411764705882353,34.0,171.33333333333334
Comida Contemporânea,470,132,1,97,1.0,0.010309278350515464,97.0,470.0
Cafeteria,314,118,3,82,0.9617834394904459,0.036585365853658534,27.333333333333332,104.66666666666667
Congelados,260,84,7,77,0.5230769230769231,0.09090909090909091,11.0,37.142857142857146
Baiana,138,42,1,36,1.0,0.027777777777777776,36.0,138.0
Conveniência,125,17,1,15,1.0,0.06666666666666667,15.0,125.0
Comida Portuguesa,26,8,1,8,1.0,0.125,8.0,26.0
Nordestina,11,5,1,5,1.0,0.2,5.0,11.0
Vegetariana           ,2,1,1,1,1.0,1.0,1.0,2.0
