city,iteractions_count,clickout_sum,user_id_unique,session_id_unique,item_id_unique,step_median,item_per_session
"London, United Kingdom",326255,28492.0,13120,15378,2454,32.0,0.15957861880608662
"Tokyo, Japan",141557,23535.0,9088,11371,1388,15.0,0.12206490194354058
"Paris, France",262060,19596.0,8876,10428,2480,44.0,0.23782125047947833
"New York, USA",223320,18160.0,9158,10869,1076,34.0,0.09899714785168828
"Istanbul, Turkey",230458,15367.0,6306,7772,2050,54.0,0.2637673700463201
"Las Vegas, USA",113909,14256.0,7039,8506,444,26.0,0.05219844815424406
"Osaka, Japan",75234,13444.0,5035,6384,914,14.0,0.14317042606516292
"Amsterdam, Netherlands",150529,12818.0,6647,7623,897,31.0,0.11767020857929948
"Rome, Italy",146798,10950.0,5235,6087,2585,46.0,0.4246755380318712
"Berlin, Germany",134252,10893.0,4937,5804,821,38.0,0.1414541695382495
"Madrid, Spain",114867,10148.0,4564,5383,1143,33.0,0.2123351291101616
"Rio de Janeiro, Brazil",161973,9122.0,4429,5563,993,49.0,0.1785008089160525
"Cancun, Mexico",146004,8906.0,4972,5987,550,46.0,0.09186570903624519
"Prague, Czech Republic",110418,8811.0,4147,4796,1065,45.0,0.22206005004170143
"Barcelona, Spain",113603,8443.0,4270,4944,1192,40.0,0.24110032362459546
"Dubai, United Arab Emirates",131856,8213.0,4761,5642,791,47.0,0.1401985111662531
"São Paulo, Brazil",109647,8059.0,3818,4641,831,38.0,0.1790562378797673
"Sydney, Australia",72947,7301.0,3437,4117,746,28.0,0.18119990284187515
"Kyoto, Japan",40453,7246.0,2950,3741,887,14.0,0.23710237904303663
"Vienna, Austria",78232,7108.0,3258,3726,703,37.0,0.18867418142780462
"Hamburg, Germany",73813,6810.0,3128,3621,440,31.0,0.12151339409003038
"Urayasu, Japan",28777,6760.0,2953,3813,495,8.0,0.12981904012588513
"Milan, Italy",75906,6739.0,2815,3373,916,31.0,0.2715683367921731
"Hong Kong, Hong Kong",59140,6700.0,3146,3921,742,22.0,0.18923743942871715
"Melbourne, Australia",71041,6616.0,3062,3626,753,31.0,0.2076668505239934
"Singapore, Singapore",65574,6278.0,3276,3925,560,28.0,0.14267515923566879
"Orlando, USA",89753,6188.0,3502,4220,565,40.0,0.1338862559241706
"Bangkok, Thailand",88897,6168.0,3185,3860,1426,46.0,0.3694300518134715
"Buenos Aires, Argentina",90332,6143.0,2737,3466,793,43.0,0.2287939988459319
"Kuala Lumpur, Malaysia",79968,5958.0,3016,3760,1046,43.0,0.2781914893617021
"Florianópolis, Brazil",90947,5907.0,3867,4454,827,35.0,0.1856757970363718
"Moscow, Russia",46079,5836.0,2598,3000,1045,23.0,0.34833333333333333
"Fukuoka, Japan",26788,5336.0,2205,2841,302,10.0,0.10630059838085182
"Munich, Germany",51742,5109.0,2394,2807,514,27.0,0.18311364446027786
"Lisbon, Portugal",65871,5073.0,2384,2789,952,42.0,0.3413409824309788
"Dublin, Ireland",36739,4963.0,2566,2974,444,17.0,0.14929388029589777
"Miami Beach, USA",79568,4833.0,2739,3280,612,41.0,0.18658536585365854
"Acapulco, Mexico",66205,4735.0,2440,3039,227,44.0,0.0746956235603817
"Puerto Vallarta, Mexico",59775,4411.0,2265,2764,366,40.0,0.13241678726483358
"Edinburgh, United Kingdom",40827,4397.0,2125,2448,515,26.0,0.21037581699346405
"Porto Seguro, Brazil",77477,4332.0,2698,3335,436,42.0,0.13073463268365818
"Malacca, Malaysia",58287,4265.0,2180,2802,403,37.0,0.14382583868665239
"Porto de Galinhas, Brazil",67254,4223.0,2537,3099,372,39.0,0.12003872216844143
"Nagoya, Japan",17633,4220.0,1733,2117,238,8.0,0.11242324043457723
"Gramado, Brazil",59222,4207.0,2290,2790,517,42.0,0.18530465949820787
"Guarujá, Brazil",53582,4178.0,2492,2945,334,31.0,0.1134125636672326
"Ubatuba, Brazil",52601,4085.0,2490,2970,544,30.0,0.18316498316498317
"Budapest, Hungary",47972,3954.0,1897,2243,629,37.0,0.2804279982166741
"Fortaleza, Brazil",68478,3906.0,2167,2639,380,46.0,0.14399393709738537
"Natal, Brazil",91862,3884.0,2287,2799,311,63.0,0.1111111111111111
"Yokohama, Japan",17740,3842.0,1791,2206,238,9.0,0.10788757932910245
"Mexico City, Mexico",54225,3750.0,2079,2512,561,38.0,0.223328025477707
"Sapporo, Japan",17633,3722.0,1627,2113,217,8.0,0.10269758637008992
"Foz do Iguaçu, Brazil",75312,3712.0,1933,2391,303,57.0,0.12672521957340024
"Mumbai, India",35427,3682.0,2057,2425,862,24.0,0.3554639175257732
"St Petersburg, Russia",32166,3648.0,1659,1941,931,25.0,0.4796496651210716
"Playa del Carmen, Mexico",75266,3642.0,2221,2674,561,61.0,0.20979805534779356
"Taipei City, Taiwan",32294,3607.0,1727,2072,747,23.0,0.3605212355212355
"Salvador Bahia, Brazil",64299,3604.0,1846,2298,372,49.0,0.1618798955613577
"Cologne, Germany",35151,3592.0,1788,2059,416,25.0,0.2020398251578436
"Maceió, Brazil",70703,3564.0,1970,2438,261,51.0,0.10705496308449548
"Florence, Italy",39674,3541.0,1519,1739,770,46.0,0.4427832087406556
"Manchester, United Kingdom",28705,3516.0,1908,2186,272,18.0,0.12442817932296432
"Seoul, South Korea",33601,3501.0,1581,1931,936,27.0,0.4847229414810979
"Caldas Novas, Brazil",37489,3472.0,1703,2063,242,31.0,0.11730489578284052
"Venice, Italy",49021,3413.0,1804,2061,740,50.0,0.35904900533721495
"Port Dickson, Malaysia",40170,3327.0,1873,2311,120,30.0,0.05192557334487235
"Arraial do Cabo, Brazil",33504,3191.0,2083,2364,351,25.0,0.1484771573604061
"Seville, Spain",33110,3190.0,1578,1789,415,31.0,0.2319731693683622
"Armação dos Búzios, Brazil",71637,3097.0,1691,2074,502,64.0,0.2420443587270974
"Auckland, New Zealand",26839,3059.0,1345,1621,364,24.0,0.22455274521900062
"Antalya, Turkey",38202,3045.0,1821,2074,441,37.0,0.21263259402121504
"Mazatlán, Mexico",38087,3014.0,1459,1854,177,35.0,0.09546925566343042
