index,user_id,pos_item_id,list_reference_item,item_id,impressions
0,1844,3,"[0, 0, 0, 0, 0]",754,"[501, 44, 66, 754, 19, 32, 16, 55, 424, 25, 773, 245, 517, 753, 91, 185, 289, 23, 45, 36, 109, 428, 43, 377, 62]"
1,1768,1,"[0, 0, 0, 0, 0]",20,"[294, 20, 119, 431, 303, 284, 483, 110, 718, 286, 321, 473, 434, 102, 614, 464, 513, 122, 278, 571, 546, 588, 255, 94, 467]"
2,1148,5,"[0, 0, 0, 0, 0]",134,"[55, 610, 379, 75, 18, 134, 62, 43, 405, 298, 89, 0, 58, 59, 624, 754, 527, 377, 14, 0, 135, 467, 525, 384, 215]"
4,1127,0,"[0, 0, 0, 0, 0]",383,"[383, 46, 773, 254, 18, 32, 36, 43, 62, 77, 91, 753, 30, 775, 437, 428, 72, 245, 29, 82, 45, 84, 22, 85, 98]"
12,1172,22,"[0, 0, 0, 0, 0]",33,"[297, 479, 509, 52, 400, 744, 423, 739, 91, 58, 659, 399, 149, 405, 717, 251, 427, 120, 128, 26, 651, 168, 33, 70, 249]"
14,929,4,"[0, 0, 0, 0, 0]",753,"[31, 773, 254, 39, 753, 494, 245, 18, 55, 91, 121, 289, 429, 385, 501, 88, 379, 775, 426, 60, 23, 25, 576, 527, 123]"
17,1881,6,"[0, 0, 0, 0, 0]",431,"[379, 530, 179, 294, 121, 497, 431, 380, 119, 389, 20, 474, 279, 303, 284, 483, 27, 297, 447, 110, 448, 450, 321, 304, 464]"
18,612,2,"[0, 0, 0, 0, 0]",437,"[414, 729, 437, 378, 0, 292, 739, 719, 334, 369, 156, 660, 654, 538, 417, 247, 0, 754, 84, 245, 329, 0, 360, 0, 0]"
19,1673,0,"[0, 0, 0, 0, 0]",44,"[44, 55, 121, 289, 426, 429, 520, 25, 60, 66, 456, 379, 473, 27, 53, 433, 110, 35, 39, 108, 380, 530, 179, 676]"
21,612,17,"[437, 0, 0, 0, 0]",754,"[414, 729, 437, 378, 0, 292, 739, 719, 334, 369, 156, 660, 654, 538, 417, 247, 0, 754, 84, 245, 329, 0, 360, 0, 0]"
22,542,15,"[717, 361, 315, 359, 330]",91,"[773, 18, 32, 36, 66, 121, 128, 64, 19, 43, 153, 57, 62, 31, 46, 91, 753, 55, 108, 175, 383, 77, 437, 30]"
23,2002,8,"[0, 0, 0, 0, 0]",126,"[385, 179, 121, 380, 508, 564, 686, 192, 126, 278, 33, 53, 25]"
28,3393,4,"[576, 380, 20, 497, 523]",523,"[20, 497, 587, 777, 523, 405, 75, 222, 120, 89, 464, 493, 473, 254, 108, 40, 483, 119, 564, 64, 301, 433, 298, 185, 245]"
29,1611,1,"[0, 0, 0, 0, 0]",765,"[395, 765, 100, 208, 0, 701, 131, 182, 56, 162, 118, 133, 139, 157, 500, 758, 273, 0, 414, 0, 105, 200, 337, 0, 149]"
30,2327,3,"[0, 0, 0, 0, 0]",179,"[385, 379, 530, 179, 389, 121, 635, 20, 119, 497, 380, 431, 27, 294, 279, 297, 483, 303, 284, 286, 718, 508, 624, 110, 374]"
31,1226,18,"[0, 0, 0, 0, 0]",291,"[450, 286, 304, 513, 474, 483, 448, 497, 464, 321, 20, 119, 284, 614, 255, 279, 530, 297, 291, 600, 303, 311, 294, 435, 379]"
32,1911,0,"[576, 0, 0, 0, 0]",269,"[269, 55, 60, 121, 123, 289, 429, 501, 520, 25, 576, 23, 377, 385, 493, 39, 379, 44, 527, 120, 775, 426, 376, 484, 43]"
33,1172,4,"[33, 0, 0, 0, 0]",88,"[62, 91, 121, 89, 88, 52, 400, 479, 509, 744, 739, 58, 659, 399, 149, 405, 717, 251, 427, 120, 128, 26, 651, 168, 33]"
34,1172,4,"[33, 88, 0, 0, 0]",88,"[62, 91, 121, 89, 88, 52, 400, 479, 509, 744, 739, 58, 659, 399, 149, 405, 717, 251, 427, 120, 128, 26, 651, 168, 33]"
35,3169,1,"[0, 0, 0, 0, 0]",102,"[564, 102, 502, 380, 121, 320, 215, 20, 379, 385, 448, 27, 110, 530, 179, 508, 473, 474, 497, 389, 126, 483, 467, 321, 114]"
38,1911,0,"[576, 269, 0, 0, 0]",269,"[269, 55, 60, 121, 123, 289, 429, 501, 520, 25, 576, 23, 377, 385, 493, 39, 379, 44, 527, 120, 775, 426, 376, 484, 43]"
40,1417,8,"[459, 659, 443, 0, 0]",443,"[459, 630, 659, 739, 227, 667, 115, 96, 443, 313, 328, 709, 341, 708, 21, 223, 334, 0, 616, 0, 217, 172, 343, 63]"
41,2155,0,"[0, 0, 0, 0, 0]",187,"[187, 54, 426, 371, 456, 501, 520, 676, 376, 245, 46, 58, 425, 424, 530, 57, 252, 175, 123, 17, 60, 729, 98, 508, 753]"
