user,item,reward,ps,index_env
1844,55,0.0,40.0,0
1768,431,0.0,40.0,1
1148,55,0.0,41.666666666666664,2
1127,18,0.0,0.03996003996003997,4
1172,33,1.0,40.0,12
929,55,0.0,40.0,14
1881,497,0.0,40.0,17
612,0,0.0,0.04757147614290472,18
1673,55,0.0,41.666666666666664,19
612,538,0.0,47.61904761904761,21
542,773,0.0,41.666666666666664,22
2002,25,0.0,0.07684623069238455,23
3393,473,0.0,40.0,28
1611,200,0.0,45.45454545454545,29
2327,431,0.0,40.0,30
1226,255,0.0,40.0,31
1911,55,0.0,40.0,32
1172,744,0.0,40.0,33
1172,744,0.0,40.0,34
3169,502,0.0,40.0,35
1911,55,0.0,40.0,38
1417,328,0.0,43.47826086956522,40
2155,57,0.0,40.0,41
1611,200,0.0,45.45454545454545,42
1881,431,1.0,40.0,43
3169,502,0.0,40.0,44
1417,328,0.0,43.47826086956522,45
3169,502,0.0,40.0,46
3169,474,0.0,40.0,47
1417,328,0.0,43.47826086956522,51
99,353,0.0,40.0,52
2459,254,0.0,41.666666666666664,53
3169,502,0.0,40.0,55
73,431,0.0,40.0,59
99,473,0.0,40.0,62
3169,502,0.0,40.0,63
2511,0,0.0,0.041625041625041624,64
187,55,0.0,40.0,65
3169,502,0.0,40.0,66
1043,353,0.0,45.45454545454545,69
1043,353,0.0,45.45454545454545,70
99,131,0.0,40.0,71
2535,477,0.0,45.45454545454545,75
3181,239,0.0,41.666666666666664,77
2559,0,0.0,0.03996003996003997,78
60,55,0.0,40.0,80
1043,445,0.0,45.45454545454545,81
1043,353,0.0,45.45454545454545,82
3181,239,0.0,41.666666666666664,83
2155,57,0.0,40.0,84
1581,55,0.0,40.0,85
2559,230,1.0,47.61904761904761,86
176,576,0.0,40.0,87
1473,502,0.0,40.0,88
2535,477,0.0,45.45454545454545,89
3169,502,0.0,40.0,90
847,57,0.0,40.0,91
3169,502,0.0,40.0,92
1357,744,0.0,40.0,93
3169,502,0.0,40.0,94
2535,353,0.0,40.0,95
1473,459,0.0,40.0,96
3169,502,0.0,40.0,97
3325,502,0.0,40.0,98
3169,215,0.0,40.0,99
1473,0,0.0,0.043434826043521696,100
2225,0,0.0,0.07135721421435708,101
1709,57,0.0,40.0,102
1473,208,0.0,43.47826086956522,103
2535,353,0.0,40.0,104
2495,25,0.0,0.03996003996003997,105
1391,55,0.0,45.45454545454545,107
3169,502,0.0,40.0,108
2225,0,0.0,0.07135721421435708,109
1473,362,0.0,43.47826086956522,110
3169,502,0.0,40.0,111
1473,0,0.0,0.041625041625041624,112
1269,501,0.0,40.0,113
20,208,0.0,40.0,114
20,208,0.0,40.0,115
1248,443,0.0,43.47826086956522,116
1269,60,0.0,40.0,117
2327,502,0.0,40.0,118
3296,25,0.0,40.0,119
2013,39,0.0,40.0,120
3296,25,0.0,40.0,121
1035,431,0.0,40.0,122
847,676,0.0,40.0,123
847,676,0.0,40.0,124
847,33,0.0,40.0,125
847,33,0.0,40.0,129
2172,644,0.0,47.61904761904761,130
2030,245,0.0,40.0,131
2172,644,0.0,47.61904761904761,132
2512,249,0.0,41.666666666666664,133
320,33,0.0,41.666666666666664,134
2158,0,0.0,0.043434826043521696,135
1394,33,0.0,0.03996003996003997,136
656,23,0.0,40.0,137
656,389,0.0,40.0,138
2158,0,0.0,0.043434826043521696,139
1302,25,0.0,40.0,140
656,389,0.0,40.0,141
1394,133,0.0,40.0,142
2121,39,0.0,40.0,143
443,208,0.0,40.0,144
2877,55,0.0,40.0,145
2540,208,0.0,41.666666666666664,146
1394,353,0.0,40.0,151
1254,502,0.0,40.0,152
1771,502,1.0,40.0,153
656,389,0.0,40.0,155
2790,80,0.0,40.0,156
2540,131,0.0,41.666666666666664,157
2121,44,0.0,40.0,159
2015,502,0.0,40.0,160
1429,0,0.0,0.03996003996003997,161
2015,770,0.0,40.0,162
1881,431,1.0,40.0,163
3017,385,0.0,40.0,164
2015,208,0.0,40.0,165
879,224,0.0,40.0,166
1427,55,0.0,40.0,167
656,25,0.0,40.0,168
2330,25,0.0,62.5,169
2790,80,0.0,40.0,170
601,39,0.0,40.0,172
1427,55,0.0,40.0,173
3433,25,0.0,0.041625041625041624,174
2158,473,0.0,40.0,176
1427,55,0.0,40.0,177
2158,493,0.0,40.0,178
656,431,0.0,40.0,179
879,25,0.0,0.03996003996003997,180
2337,55,0.0,40.0,181
2158,37,0.0,40.0,182
2158,37,0.0,40.0,183
1429,0,0.0,0.03996003996003997,184
1568,133,0.0,45.45454545454545,185
1568,672,0.0,76.92307692307692,186
991,0,0.0,0.03996003996003997,187
2337,55,0.0,40.0,188
2158,250,0.0,58.8235294117647,189
1831,502,0.0,40.0,190
445,453,0.0,50.0,191
383,692,0.0,47.61904761904761,192
656,431,0.0,40.0,193
1885,753,0.0,40.0,194
1427,55,0.0,40.0,195
598,25,0.0,40.0,197
900,64,0.0,40.0,199
1114,33,0.0,40.0,200
1321,44,0.0,40.0,202
1335,271,0.0,52.63157894736842,203
3312,0,0.0,0.08325008325008325,205
741,70,0.0,41.666666666666664,207
828,55,0.0,40.0,208
758,141,0.0,40.0,209
236,133,0.0,41.666666666666664,211
2089,55,0.0,40.0,212
2744,0,0.0,0.03996003996003997,213
1489,55,0.0,40.0,214
2827,473,0.0,40.0,215
3341,64,0.0,40.0,216
236,180,0.0,47.61904761904761,217
2089,128,0.0,40.0,218
1682,133,0.0,40.0,219
3312,453,0.0,90.9090909090909,220
236,353,0.0,47.61904761904761,221
3011,55,0.0,40.0,223
2999,732,0.0,40.0,225
2999,732,0.0,40.0,226
2999,732,0.0,40.0,227
2399,353,0.0,40.0,228
634,55,0.0,40.0,229
1304,55,0.0,40.0,230
2647,70,1.0,40.0,231
2215,502,1.0,40.0,232
634,736,0.0,40.0,233
2294,128,0.0,40.0,234
1577,33,0.0,40.0,237
721,55,0.0,40.0,238
2760,55,0.0,40.0,240
3312,0,0.0,0.05876476464711759,241
3260,33,0.0,40.0,244
2366,81,0.0,40.0,245
2617,55,0.0,40.0,246
3148,0,0.0,0.03996003996003997,247
1577,33,0.0,40.0,249
2147,345,0.0,43.47826086956522,250
3312,443,0.0,41.666666666666664,251
2646,133,0.0,40.0,252
145,55,0.0,40.0,253
1091,502,0.0,62.5,254
2290,353,0.0,40.0,255
212,732,0.0,40.0,257
418,0,0.0,0.06243756243756245,258
76,55,0.0,40.0,259
1904,111,0.0,76.92307692307692,260
1004,55,0.0,40.0,261
418,0,0.0,0.06243756243756245,262
1682,353,0.0,40.0,263
206,431,0.0,40.0,264
418,277,0.0,62.5,265
335,0,0.0,0.041625041625041624,266
1175,55,0.0,41.666666666666664,267
23,55,0.0,40.0,268
2802,133,0.0,55.55555555555555,269
3080,131,0.0,40.0,270
1004,55,0.0,40.0,271
1175,447,0.0,41.666666666666664,272
2925,443,0.0,66.66666666666667,273
2935,431,0.0,40.0,274
3208,81,0.0,43.47826086956522,275
1904,0,0.0,0.043434826043521696,276
3208,81,0.0,43.47826086956522,277
718,294,0.0,40.0,278
3080,131,0.0,40.0,279
3080,131,0.0,40.0,280
2935,25,0.0,40.0,282
2935,81,0.0,40.0,284
2904,33,0.0,40.0,287
2049,64,1.0,40.0,289
583,443,0.0,55.55555555555555,290
2237,81,0.0,40.0,292
1612,55,0.0,40.0,293
2904,123,0.0,40.0,295
2904,33,0.0,40.0,296
1175,55,0.0,41.666666666666664,298
3080,0,0.0,0.06660006660006661,299
3208,81,0.0,40.0,300
1555,576,0.0,41.666666666666664,304
2638,732,0.0,43.47826086956522,305
3080,67,0.0,66.66666666666667,306
3440,55,0.0,40.0,307
1378,0,0.0,0.04540913631822723,308
522,493,0.0,40.0,310
3080,67,0.0,66.66666666666667,311
1183,55,0.0,40.0,312
1175,55,0.0,41.666666666666664,313
2175,0,0.0,0.03996003996003997,314
1366,55,0.0,40.0,317
623,502,0.0,40.0,319
32,55,0.0,40.0,320
32,426,0.0,40.0,321
3208,144,0.0,40.0,322
3208,144,0.0,40.0,324
2870,0,0.0,0.041625041625041624,325
1325,221,0.0,52.63157894736842,326
1325,221,0.0,52.63157894736842,327
3438,732,0.0,40.0,329
3208,144,0.0,40.0,331
2739,502,0.0,40.0,332
2158,131,0.0,52.63157894736842,333
1828,732,0.0,40.0,335
2158,208,0.0,52.63157894736842,336
1433,60,0.0,40.0,337
1433,44,0.0,40.0,338
3141,443,0.0,40.0,340
2093,394,0.0,90.9090909090909,341
3075,0,0.0,0.041625041625041624,342
3141,443,0.0,40.0,343
2093,0,0.0,0.09081827263645446,344
3075,0,0.0,0.041625041625041624,345
3075,0,0.0,0.041625041625041624,346
1931,538,0.0,55.55555555555555,347
2093,0,0.0,0.09081827263645446,348
3075,0,0.0,0.041625041625041624,349
76,527,0.0,40.0,350
1931,443,0.0,45.45454545454545,351
3075,0,0.0,0.041625041625041624,352
3208,208,1.0,43.47826086956522,353
3141,328,0.0,41.666666666666664,354
292,0,0.0,0.333000333000333,355
2646,133,1.0,41.666666666666664,356
3208,446,0.0,43.47826086956522,357
3208,446,0.0,43.47826086956522,359
2093,39,0.0,40.0,360
3208,81,0.0,50.0,361
3208,204,0.0,40.0,362
2093,39,0.0,40.0,363
2207,225,1.0,55.55555555555555,364
292,0,0.0,0.333000333000333,365
975,172,0.0,40.0,366
2081,517,0.0,41.666666666666664,367
2093,39,1.0,40.0,368
652,293,0.0,52.63157894736842,369
3016,39,0.0,40.0,370
2690,55,0.0,40.0,371
652,293,0.0,52.63157894736842,372
2081,523,0.0,41.666666666666664,373
652,542,0.0,43.47826086956522,374
2690,55,0.0,40.0,375
2081,47,0.0,41.666666666666664,376
2690,55,0.0,40.0,377
2555,335,0.0,47.61904761904761,378
1506,228,0.0,41.666666666666664,379
3400,0,0.0,0.055500055500055503,380
1506,70,0.0,40.0,381
76,55,0.0,40.0,382
2789,279,0.0,41.666666666666664,384
1645,70,0.0,40.0,389
