,session_id,user_id,timestamp,action_type,item_id,impressions,list_reference_item,pos_item_id,clicked
0,05fe82b496fb9,M1Z13DD0P2KH,1541422443,clickout item,4304686,"['109351', '150138', '4345728', '105014', '478121', '104677', '4342016', '4304686', '5066908', '5493194', '104917', '5659850', '104789', '1223390', '2788294', '104765', '1477057', '153550', '5660226', '3497814', '4155306', '960255', '5196406', '829671', '5497220']","['', '', '', '', '']",7,1.0
1,05fe82b496fb9,M1Z13DD0P2KH,1541422474,clickout item,960255,"['1475717', '5196406', '104880', '109351', '6861472', '2851664', '478121', '5435302', '5722428', '5822266', '2626948', '104524', '4304686', '104789', '104765', '104790', '5660226', '3497814', '478691', '3842192', '960255', '829671', '3148916', '5433480', '5015898']","['4304686', '', '', '', '']",20,1.0
2,05fe82b496fb9,M1Z13DD0P2KH,1541423039,clickout item,2188598,"['104558', '326781', '104786', '1223390', '2068758', '5433480', '3842192', '2626948', '929425', '2188598', '3133151', '5688194', '104648', '104653', '2858820', '104859', '3477940', '6213724', '2647860', '1992585', '3195928', '1993639', '5204272', '1769241', '3217370']","['4304686', '960255', '', '', '']",9,1.0
3,05fe82b496fb9,M1Z13DD0P2KH,1541424631,clickout item,8459162,"['105014', '5659850', '478121', '109351', '95685', '104917', '153550', '104558', '4155306', '1477057', '104789', '829671', '104653', '960255', '1241536', '104648', '1770143', '5485084', '104859', '2092780', '5789164', '5722428', '3195928', '8459162', '4849690']","['4304686', '960255', '2188598', '', '']",23,1.0
4,05fe82b496fb9,M1Z13DD0P2KH,1541424685,interaction item info,8459162,,"['4304686', '960255', '2188598', '8459162', '']",-1,0.0
5,05fe82b496fb9,M1Z13DD0P2KH,1541424821,clickout item,8459162,"['105014', '5659850', '478121', '109351', '95685', '104917', '153550', '104558', '4155306', '1477057', '104789', '829671', '104653', '960255', '1241536', '104648', '1770143', '5485084', '104859', '2092780', '5789164', '5722428', '3195928', '8459162', '4849690']","['4304686', '960255', '2188598', '8459162', '8459162']",23,1.0
6,1f6e724c2b28c,9W75TSDAWB62,1541242765,clickout item,109350,"['95685', '1670475', '104677', '109350', '104558', '104800', '3497814', '951687', '104645', '104882', '1890829', '97505', '104838', '104949', '104789', '6794024', '109337', '4342016', '109351', '2589266', '1770143', '1743531', '655691', '104648', '4626720']","['', '', '', '', '']",3,1.0
7,1f6e724c2b28c,9W75TSDAWB62,1541243598,clickout item,109350,"['95685', '104558', '109350', '97505', '104800', '104645', '104838', '109337', '1890829', '104882', '7341706', '95794', '9317042', '6794024', '3877096', '104949', '4974962', '106942', '5659850', '104554', '6009918', '132255', '4594598', '477971', '104913']","['109350', '', '', '', '']",2,1.0
8,1f6e724c2b28c,9W75TSDAWB62,1541244123,clickout item,104800,"['95685', '104558', '109350', '97505', '104800', '104645', '104838', '109337', '1890829', '104882', '7341706', '95794', '9317042', '6794024', '3877096', '104949', '4974962', '106942', '5659850', '104554', '6009918', '132255', '4594598', '477971', '104913']","['109350', '109350', '', '', '']",4,1.0
9,1f8005c821fb5,21JZL0VL9OKI,1541338138,clickout item,5763334,"['5763334', '104811', '926343', '8256462', '3877096', '104706', '477986', '478096', '97505', '5450846', '132255', '9332960', '104788', '2815888', '104653', '5048198', '3957818', '6553322', '7027228', '3943824', '6245540', '6099960', '1367822', '109339', '104793']","['', '', '', '', '']",0,1.0
10,1f8005c821fb5,21JZL0VL9OKI,1541338284,clickout item,5763334,"['5763334', '104811', '926343', '8256462', '3877096', '104706', '477986', '478096', '97505', '5450846', '132255', '9332960', '104788', '2815888', '104653', '5048198', '3957818', '6553322', '7027228', '3943824', '6245540', '6099960', '1367822', '109339', '104793']","['5763334', '', '', '', '']",0,1.0
11,23936a3b308d5,0Z2N1LRM5IO4,1541435193,clickout item,104765,"['109351', '5659850', '150138', '105014', '3148916', '478121', '104677', '109353', '5660226', '104765', '104565', '104650', '4345728', '104558', '4415314', '104776', '106405', '104990', '4342016', '5822266', '5790750', '104735', '5435302', '5493194', '5066908']","['', '', '', '', '']",9,1.0
12,51e6dd592a755,32XJMEY6LQCO,1541419697,clickout item,104949,"['104949', '3148916', '104558', '104565', '150138', '111534', '104706', '104776', '105014', '1670475', '4274266', '4342016', '97505', '104800', '104838', '104882', '95685', '104645', '104790', '2342182', '104681', '106942', '1668389', '109339', '109350']","['', '', '', '', '']",0,1.0
13,51e6dd592a755,32XJMEY6LQCO,1541419724,clickout item,3148916,"['104949', '3148916', '104558', '104565', '150138', '111534', '104706', '104776', '105014', '1670475', '4274266', '4342016', '97505', '104800', '104838', '104882', '95685', '104645', '104790', '2342182', '104681', '106942', '1668389', '109339', '109350']","['104949', '', '', '', '']",1,1.0
14,51e6dd592a755,32XJMEY6LQCO,1541419918,clickout item,3148916,"['104949', '3148916', '104558', '104565', '150138', '111534', '104706', '104776', '105014', '1670475', '4274266', '4342016', '97505', '104800', '104838', '104882', '95685', '104645', '104790', '2342182', '104681', '106942', '1668389', '109339', '109350']","['104949', '3148916', '', '', '']",1,1.0
15,51e6dd592a755,32XJMEY6LQCO,1541420449,clickout item,104565,"['104949', '3148916', '104558', '104565', '150138', '111534', '104706', '104776', '105014', '1670475', '4274266', '4342016', '97505', '104800', '104838', '104882', '95685', '104645', '104790', '2342182', '104681', '106942', '1668389', '109339', '109350']","['104949', '3148916', '3148916', '', '']",3,1.0
16,6355958618408,OLR1TITX98QZ,1541244223,clickout item,104811,"['95685', '104811', '926343', '3941924', '104706', '104788', '3148916', '3877096', '97505', '2795080', '109342', '4525578', '5049220', '9332960', '477986', '4132378', '109338', '104653', '5450846', '3957818', '8748028', '5048198', '104793', '8740014', '5419360']","['', '', '', '', '']",1,1.0
17,68f9272c60f5c,U177SSUG5FU7,1541530207,clickout item,104680,"['104800', '104680', '2788294', '2734599', '919457', '104859', '4532532', '3968950', '478011', '1329092', '104900', '1670475', '4048376', '1477057', '5723646', '960255', '1770143', '3210656', '918935', '2826785', '1771981', '2284048', '962535', '2303306', '2858820']","['', '', '', '', '']",1,1.0
18,68f9272c60f5c,U177SSUG5FU7,1541530329,clickout item,477986,"['919457', '2734599', '3210656', '5790750', '97505', '104811', '132255', '926343', '104793', '8256462', '3877096', '2795080', '104653', '5450846', '9332960', '477986', '9282934', '109338', '1367822', '104680', '6245540', '5048198', '5659850', '2815888', '1166998']","['104680', '', '', '', '']",15,1.0
